id;start_date;end_date;language
1;2019-09-01T00:27:53;2019-08-31T17:36:10;ENGLISH
2;2019-09-01T01:57:59;2019-08-31T11:04:09;ENGLISH
3;2019-08-31T21:30:03;2019-08-31T12:54:03;ENGLISH
4;2019-08-31T10:41:54;2019-08-31T18:08:56;FRENCH
5;2019-08-31T19:40:33;2019-09-01T00:24:42;SPANISH
6;2019-09-01T01:57:34;2019-09-01T03:14:30;SPANISH
7;2019-08-31T11:19:54;2019-09-01T00:00:41;ENGLISH
8;2019-08-31T08:51:13;2019-08-31T16:51:22;SPANISH
9;2019-08-31T18:39:19;2019-09-01T03:03:57;ENGLISH
10;2019-08-31T21:57:28;2019-08-31T19:13:43;SPANISH
